EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [EeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model,Xmax [g/cm2],XmaxAltitude [km],XmaxDistance [km]
38,Xi_Sib_Proton_0.0567_85.1_52.28_38,0.6072076192,1,Proton,0.05669827657645007,85.09587230101751,52.28220223153658,Sib,659.7070517700504,17.908479408976746,167.58156618350603
39,Xi_Sib_Iron_0.441_81.6_238.1_39,0.3885860100,1,Iron,0.4409941617923821,81.59515360423164,238.09678357801857,Sib,611.3771047196291,16.260218207683465,96.75901662399949
40,Xi_Sib_Proton_0.632_72.7_246.3_40,0.5384837896,1,Proton,0.6324785483263702,72.70982745509339,246.26647306376836,Sib,720.460656411673,11.355036543331153,33.229489232841985
41,Xi_Sib_Iron_0.837_87.2_310.0_41,0.9722774468,1,Iron,0.8367959518680878,87.23833415304445,309.98866729338806,Sib,627.5119350925078,19.456110130628076,262.8068306877733
42,Xi_Sib_Proton_0.662_85.9_111.3_42,0.1326090531,1,Proton,0.6619453676242161,85.8738066801538,111.3433863703596,Sib,721.6076845414779,17.859416039113057,189.7738999270805
43,Xi_Sib_Iron_0.0362_87.3_329.1_43,0.3315262158,1,Iron,0.03619786643194251,87.34430128617649,329.06849860510346,Sib,548.4036124445095,20.291803426426668,277.72165428229243
44,Xi_Sib_Proton_0.0916_79.4_138.7_44,0.8178490183,1,Proton,0.09162433797940675,79.39192057188622,138.72485306369583,Sib,671.7966292836538,14.515242383426994,69.27171451215612
45,Xi_Sib_Iron_0.4_50.9_92.95_45,0.8463512339,1,Iron,0.399590395399945,50.8974517538983,92.94686836473215,Sib,608.8936723738229,7.631615588799832,9.873017789504916
46,Xi_Sib_Proton_0.458_77.0_286.7_46,0.2500576280,1,Proton,0.4575075036050393,76.96198837764906,286.7361061803391,Sib,712.3030968381786,13.033391865484191,50.71940353608269
47,Xi_Sib_Iron_0.0609_87.5_250.3_47,0.0273590339,1,Iron,0.06093756565170655,87.49402183050064,250.25273593566385,Sib,561.5233358541979,20.225885064901377,285.217855049849
48,Xi_Sib_Proton_2.73_52.6_292.4_48,0.8726492792,1,Proton,2.7291814996984387,52.55061331579236,292.3726686702833,Sib,757.2898802826287,6.330107511901588,8.102589194445098
49,Xi_Sib_Iron_0.0587_80.8_203.9_49,0.0132019841,1,Iron,0.05869107367111564,80.78086395888727,203.88671255110617,Sib,560.5771791549939,16.35358594135596,89.52150306567658
50,Xi_Sib_Proton_0.114_84.9_224.1_50,0.2210112534,1,Proton,0.11367192700848486,84.92285168700641,224.10016002852876,Sib,677.227886897895,17.642891780966238,160.83931118105022
51,Xi_Sib_Iron_0.0437_85.5_333.0_51,0.5288975418,1,Iron,0.04374730376354642,85.51980029166428,333.0254008097611,Sib,553.1751749197331,19.222105107322932,191.59852172286838
52,Xi_Sib_Proton_0.042_62.5_47.25_52,0.5756956013,1,Proton,0.04197559492001735,62.490260363405895,47.25459025222863,Sib,652.1338178862914,9.265318036336794,16.989681809580876
53,Xi_Sib_Iron_0.15_86.2_129.4_53,0.5528706193,1,Iron,0.15005758653886572,86.15953934701768,129.36572807713395,Sib,584.2229615156423,19.279411304763926,213.77905772554823
54,Xi_Sib_Proton_2.7_64.9_126.6_54,0.0764346971,1,Proton,2.700257272387236,64.94720461255466,126.64506654479382,Sib,757.0214983752962,8.834626476939775,17.510565416227237
55,Xi_Sib_Iron_0.122_81.7_24.84_55,0.1725000250,1,Iron,0.12177383909655067,81.6769621982499,24.836511494429846,Sib,578.9621318848689,16.64256808819482,100.00472357333409
56,Xi_Sib_Proton_3.98_82.7_348.7_56,0.9982063847,1,Proton,3.9802291794525213,82.68358904473173,348.6668886241986,Sib,766.7946685956889,15.498026221524015,104.1440404572531
57,Xi_Sib_Iron_0.793_57.2_230.9_57,0.8861933967,1,Iron,0.79321572514465,57.15393593172422,230.92252975340782,Sib,626.1646962880493,8.47270468093484,13.022738878135572
58,Xi_Sib_Proton_0.097_86.7_93.92_58,0.2208745559,1,Proton,0.09696088363962214,86.68103214234186,93.9192422078561,Sib,673.2226007539357,18.746521518242844,228.97428270954543
59,Xi_Sib_Iron_0.296_82.6_23.31_59,0.3338676166,1,Iron,0.2962979254877767,82.64585013915385,23.31021954297451,Sib,601.360259426622,16.965310980166578,113.81069475466845
60,Xi_Sib_Proton_0.475_87.8_359.7_60,0.5992048496,1,Proton,0.47476981345601965,87.83180443287146,359.66336900393685,Sib,713.23601968956,19.00098384595094,290.65852579865896
61,Xi_Sib_Iron_1.62_85.0_317.8_61,0.9928768882,1,Iron,1.6191356643180865,84.98187397087204,317.78796018490476,Sib,644.1384278615362,17.980199510012426,165.29021578072798
62,Xi_Sib_Proton_0.134_82.9_64.8_62,0.6952636393,1,Proton,0.13436162709238236,82.94067164525538,64.80068985653924,Sib,681.4399647563964,16.374900832393905,113.73377126004208
63,Xi_Sib_Iron_0.638_74.1_91.4_63,0.8406211809,1,Iron,0.6377652581797282,74.0713137916172,91.39799215319916,Sib,620.6703297443082,12.768767207393466,40.98199527309916
64,Xi_Sib_Proton_0.0549_85.5_77.75_64,0.9639563406,1,Proton,0.05486730309886891,85.51942142228077,77.75048560576992,Sib,658.8801895990136,18.17980503880517,181.85772948466078
65,Xi_Sib_Iron_0.507_81.0_337.2_65,0.0201143807,1,Iron,0.5066638334376465,81.01726816756856,337.2254136316706,Sib,614.8737544718618,15.906899453494589,89.03368543595134
66,Xi_Sib_Proton_0.277_55.6_52.6_66,0.7159937234,1,Proton,0.276776948036884,55.64643315242767,52.59573556505466,Sib,699.6435351362004,7.427850594561278,10.671250013923954
67,Xi_Sib_Iron_0.0486_87.5_309.2_67,0.2137566439,1,Iron,0.0485879323683372,87.51312334274114,309.15463637476586,Sib,555.8186482615754,20.29405113426492,287.06808993903985
68,Xi_Sib_Proton_0.157_54.3_313.0_68,0.8153070446,1,Proton,0.15729770150171052,54.30000351493144,312.9886493203902,Sib,685.4098978417107,7.338773534467691,10.167969481148242
69,Xi_Sib_Iron_0.329_61.4_130.0_69,0.9328164205,1,Iron,0.3285460333050069,61.41267860238451,130.03433307181746,Sib,603.9625812304429,9.544861649995255,16.985311301073395
70,Xi_Sib_Proton_0.0581_86.7_183.3_70,0.7822039605,1,Proton,0.05809006627115448,86.70316993884015,183.3259465096313,Sib,660.3179085722103,18.872157923684426,231.26333833483727
71,Xi_Sib_Iron_0.0403_87.3_102.2_71,0.8502473191,1,Iron,0.04034850640839761,87.25722275694719,102.19118783162239,Sib,551.1379928516242,20.2202014782506,272.2998815064694
72,Xi_Sib_Proton_0.124_68.7_60.52_72,0.8936618956,1,Proton,0.12362060336663128,68.69472223593533,60.52022610159081,Sib,679.3412698198332,10.512152421611972,24.962428120581883
73,Xi_Sib_Iron_0.203_73.5_116.2_73,0.1437248371,1,Iron,0.20329764561805388,73.4697382071739,116.18830316138813,Sib,591.8716762489626,12.856085368247477,39.862348981862645
74,Xi_Sib_Proton_0.628_83.2_93.87_74,0.9409832090,1,Proton,0.6275136154629004,83.18320380181319,93.87323938698103,Sib,720.2621428943173,16.18360123788989,115.82701415671703
75,Xi_Sib_Iron_0.0607_79.2_232.5_75,0.2333330831,1,Iron,0.060706785655047314,79.18926012083192,232.45547277958363,Sib,561.4277598130798,15.536589260454093,73.21031898936327
76,Xi_Sib_Proton_3.12_54.6_275.8_76,0.3249292965,1,Proton,3.1157371845703317,54.632290881506464,275.8234067515985,Sib,760.6265274085044,6.651513403314311,9.065363675667028
77,Xi_Sib_Iron_2.21_75.7_94.04_77,0.6661830747,1,Iron,2.2125760071204397,75.67489545909743,94.03533596417853,Sib,652.004095521666,13.06190054498802,46.49104164205184
78,Xi_Sib_Proton_0.0318_62.9_142.0_78,0.1730517872,1,Proton,0.031796017021743665,62.902022969969664,142.00763021551776,Sib,645.1376178068542,9.42759543266493,17.581037113081244
79,Xi_Sib_Iron_0.445_80.9_259.0_79,0.3449307434,1,Iron,0.44498735995409544,80.89940228192819,259.00989002183934,Sib,611.6041651410541,15.87635584347845,87.80438915538855
80,Xi_Sib_Proton_1.59_64.0_301.7_80,0.5857982958,1,Proton,1.5889981205059442,64.01883153694168,301.726485716336,Sib,743.6651562439727,8.730516707488277,16.69316075280365
81,Xi_Sib_Iron_2.3_65.6_317.2_81,0.7510106832,1,Iron,2.304419832589814,65.55198678961241,317.2214628150652,Sib,653.0285730465433,9.962374886940779,20.62196502781087
82,Xi_Sib_Proton_0.302_87.1_248.2_82,0.4882336462,1,Proton,0.30156406597519897,87.14124261253345,248.2094832193718,Sib,701.8040162346917,18.75662934061529,250.08751213928062
83,Xi_Sib_Iron_0.0548_70.1_131.4_83,0.6953982070,1,Iron,0.054837783489724415,70.10907694928284,131.40735199350576,Sib,558.8666337679049,12.148689947284765,31.39175190044596
84,Xi_Sib_Proton_0.111_85.1_33.38_84,0.4607185891,1,Proton,0.1108206228349908,85.08455929335643,33.38015657478531,Sib,676.5879940260609,17.750214089482142,165.86817788976495
85,Xi_Sib_Iron_0.0639_79.7_148.5_85,0.8009526077,1,Iron,0.06392241783174987,79.67246007419108,148.48701307221097,Sib,562.7278852274312,15.759310813604316,77.55431132770333
86,Xi_Sib_Proton_0.121_79.1_67.03_86,0.0429994415,1,Proton,0.12121702802272132,79.09927834269226,67.03219966116617,Sib,678.846690647333,14.30692648463355,66.48668710767461
87,Xi_Sib_Iron_0.0645_87.9_112.3_87,0.0453303928,1,Iron,0.0644796423191436,87.87472721020022,112.3461656964514,Sib,562.9465119419916,20.380430670191345,309.6753068906411
88,Xi_Sib_Proton_0.191_64.5_224.1_88,0.7687852204,1,Proton,0.19119686039514683,64.47549109415377,224.1082541304656,Sib,690.3258838791493,9.338733489138576,18.373734389071238
89,Xi_Sib_Iron_2.24_82.6_156.1_89,0.7517649634,1,Iron,2.2390832223855495,82.64551449389997,156.05841591650307,Sib,652.3040736742855,16.46622339178157,110.3700627763239
90,Xi_Sib_Proton_1.34_76.5_226.1_90,0.9825937086,1,Proton,1.3404154317659909,76.47937090114849,226.053231491158,Sib,739.3798863068046,12.596162273966911,47.18361975804422
91,Xi_Sib_Iron_0.661_74.2_112.3_91,0.1291591387,1,Iron,0.6607810159662928,74.19990708512665,112.34775680197832,Sib,621.5633383260532,12.806088568931955,41.43352683949696
92,Xi_Sib_Proton_0.978_54.8_215.5_92,0.4969703069,1,Proton,0.9776927129943299,54.826072868792586,215.4640920191117,Sib,731.4317379404586,6.966733098404802,9.654977556572241
93,Xi_Sib_Iron_0.199_72.2_103.5_93,0.0077059342,1,Iron,0.19858406674505644,72.23732106736131,103.52253809895058,Sib,591.280775213947,12.447923535411974,35.91345938855788
94,Xi_Sib_Proton_0.337_85.3_307.0_94,0.8643028706,1,Proton,0.33692657682027705,85.28720087037694,307.0224446521822,Sib,704.5970456337797,17.63530014263688,170.19288451387837
95,Xi_Sib_Iron_0.0612_68.0_39.89_95,0.7056393777,1,Iron,0.061237728796362766,67.97487876990735,39.891182764028656,Sib,561.6471063545345,11.524775321670859,26.86885802395728
96,Xi_Sib_Proton_0.439_86.9_213.9_96,0.4479387316,1,Proton,0.43925280202349765,86.92579464329022,213.9254184629272,Sib,711.2774433530718,18.56250637154335,237.75124354190703
97,Xi_Sib_Iron_0.0587_85.5_308.4_97,0.4710561884,1,Iron,0.05869251666704259,85.52806319564107,308.3905670976459,Sib,560.577798453478,19.14778427769852,191.16352538598238
98,Xi_Sib_Proton_0.0369_83.9_241.8_98,0.0588492842,1,Proton,0.036882365176668826,83.85171927836598,241.77504278398195,Sib,648.8754882845617,17.230435892999594,134.69862686851673
99,Xi_Sib_Iron_0.108_87.9_239.6_99,0.7797402131,1,Iron,0.10774545779909109,87.90443469366122,239.63995705253976,Sib,575.8791403043334,20.261833582962026,310.1624666635787
100,Xi_Sib_Proton_0.075_87.8_190.5_100,0.8238241065,1,Proton,0.0750175675781857,87.82347586689252,190.45131524957708,Sib,666.7594527342371,19.38402228422001,294.7329772355961
101,Xi_Sib_Iron_2.47_82.2_173.5_101,0.3366077882,1,Iron,2.474739228342876,82.22273152647738,173.45034291802259,Sib,654.8247076707731,16.19456351648114,103.27129303013189
102,Xi_Sib_Proton_0.204_86.4_46.96_102,0.2667016383,1,Proton,0.2041530244321489,86.36519552273514,46.95955232113003,Sib,691.9774374542965,18.40305186788828,212.61175227552633
103,Xi_Sib_Iron_0.0782_65.2_269.2_103,0.5067271114,1,Iron,0.07815466822427412,65.19208666647499,269.1835766574484,Sib,567.7913855800899,10.765481899326005,22.245086971615848
104,Xi_Sib_Proton_2.09_72.1_123.0_104,0.1397607242,1,Proton,2.0913019763276193,72.14000712724976,123.03169518964086,Sib,750.5841713767187,10.90820085370342,30.78313020041251
105,Xi_Sib_Iron_0.369_86.8_46.72_105,0.6342206898,1,Iron,0.3690629387178463,86.77395577081475,46.719569498597394,Sib,606.8918252621753,19.404983341321895,240.05158225882977
106,Xi_Sib_Proton_0.0512_77.2_20.81_106,0.5454855474,1,Proton,0.05120091246722572,77.15088370791034,20.80852960438973,Sib,657.1381066429478,13.620299219737717,53.976012302706465
107,Xi_Sib_Iron_3.26_87.1_35.51_107,0.4377919222,1,Iron,3.2641703191785747,87.06360940391956,35.510058757203964,Sib,661.7988230648796,19.056265300013365,249.66773021103705
108,Xi_Sib_Proton_0.0972_56.7_245.7_108,0.2542129723,1,Proton,0.09715494557277622,56.65534292256523,245.74013514476349,Sib,673.2729649431712,7.879848845665947,11.774731635464876
109,Xi_Sib_Iron_2.16_56.7_99.61_109,0.0860357794,1,Iron,2.1552784478143585,56.69969824639669,99.61407689018716,Sib,651.3431963946709,8.118233904335284,12.221716842887039
110,Xi_Sib_Proton_0.464_87.7_330.5_110,0.2034527178,1,Proton,0.4635872115960536,87.70385619305046,330.4591884873719,Sib,712.6356239326677,18.947843361234845,282.4040541468394
111,Xi_Sib_Iron_0.137_85.9_129.6_111,0.7298659215,1,Iron,0.13748531007658316,85.88645259990004,129.56950648339523,Sib,582.0188652542056,19.140199154014226,202.706844494169
112,Xi_Sib_Proton_1.4_87.8_13.34_112,0.7982398887,1,Proton,1.4018714325909358,87.80367335991475,13.336782189111958,Sib,740.5090747739974,18.77333468006873,286.2215349293242
113,Xi_Sib_Iron_0.24_83.7_128.1_113,0.5202734601,1,Iron,0.23969638714630534,83.66078569822761,128.06553293023876,Sib,596.0203663112635,17.62944329237962,134.347374456171
114,Xi_Sib_Proton_3.05_87.9_93.85_114,0.3515075207,1,Proton,3.0491932472631884,87.86227215345838,93.84617022582326,Sib,760.0827270600631,18.65025380870611,288.27432671081004
115,Xi_Sib_Iron_0.348_87.3_56.7_115,0.9389149112,1,Iron,0.34750938089513966,87.3386769665501,56.699197036980394,Sib,605.3760588973653,19.71481877093538,270.95050292069817
116,Xi_Sib_Proton_0.454_59.6_1.907_116,0.6601411633,1,Proton,0.4544293659913448,59.568877143434364,1.9068381482601726,Sib,712.1330505301586,8.050340668184617,13.110159892923479
117,Xi_Sib_Iron_1.09_86.7_295.9_117,0.3525735994,1,Iron,1.085105063384632,86.69684495194127,295.8870691574343,Sib,634.0573638210376,19.10604514334682,233.4852240264122
118,Xi_Sib_Proton_0.119_82.5_102.6_118,0.6657203191,1,Proton,0.11878968180548387,82.47404605465115,102.60669726424975,Sib,678.337165702924,16.1247921005006,105.84288174581977
119,Xi_Sib_Iron_0.427_57.6_75.19_119,0.5383140789,1,Iron,0.42717737683161094,57.610509454027394,75.18864156983163,Sib,610.5752781834166,8.728564729460231,13.661598212669901
120,Xi_Sib_Proton_0.391_84.5_328.0_120,0.1689008344,1,Proton,0.3910446104076154,84.45515822328602,328.0053564204051,Sib,708.3491256655996,17.07776507633389,145.30793652224617
121,Xi_Sib_Iron_1.57_86.8_289.1_121,0.9372736809,1,Iron,1.5670692693697434,86.81457230135923,289.0699399836513,Sib,643.3151152560132,19.08658038433714,238.44717110675566
122,Xi_Sib_Proton_0.328_80.5_42.56_122,0.3169132906,1,Proton,0.3276524423656867,80.47154671238928,42.559129664148415,Sib,703.8939777564588,14.776207017263005,78.00539567412683
123,Xi_Sib_Iron_0.674_86.2_315.1_123,0.6265489263,1,Iron,0.67418771042156,86.2113395958618,315.091588538073,Sib,622.0692882342478,18.939220506711536,212.28881314302774
124,Xi_Sib_Proton_0.668_84.5_78.84_124,0.6311009472,1,Proton,0.6680389037619119,84.4897862759873,78.84289056206997,Sib,721.8385017718371,16.986057256417553,145.26988934149338
125,Xi_Sib_Iron_2.5_65.4_293.5_125,0.6380361111,1,Iron,2.496060594594355,65.43882621923338,293.47343047462726,Sib,655.0407971984241,9.914198108668643,20.41832503880117
126,Xi_Sib_Proton_1.76_72.1_17.12_126,0.7345729631,1,Proton,1.7641269640554773,72.10411331296392,17.116229223537253,Sib,746.2987306071643,10.932726729596652,30.803023657945616
127,Xi_Sib_Iron_0.107_87.6_174.2_127,0.7411160450,1,Iron,0.10707021982649455,87.577342546359,174.20984717293115,Sib,575.7207842710693,20.119910613094362,288.7468179552375
128,Xi_Sib_Proton_0.267_85.2_231.2_128,0.0535729492,1,Proton,0.2671153300311882,85.19903783737429,231.1859245037845,Sib,698.7485311746528,17.629572524512696,167.77281499464928
129,Xi_Sib_Iron_0.0445_72.2_290.8_129,0.4772095694,1,Iron,0.04447237080701558,72.22364123732974,290.83872002685274,Sib,553.5892363651474,12.860046609556775,37.214529951838635
130,Xi_Sib_Proton_0.311_87.4_169.5_130,0.0611014490,1,Proton,0.31093140318045537,87.44659773407004,169.52796049807506,Sib,702.5745460318554,18.90658194741536,267.4863491288813
131,Xi_Sib_Iron_0.061_81.4_351.4_131,0.4410176661,1,Iron,0.06099435686598854,81.44912623425614,351.42756884074237,Sib,561.5468000711301,16.70481346244742,97.98935702806695
132,Xi_Sib_Proton_0.116_86.0_323.8_132,0.9342382178,1,Proton,0.1156935035915422,85.95423165539617,323.7859933252311,Sib,677.6719204445578,18.27993471017362,196.58795086037455
133,Xi_Sib_Iron_0.0703_88.0_199.5_133,0.6299772439,1,Iron,0.07029846826157037,87.97346176198702,199.48078304515732,Sib,565.1228600104369,20.398777412186064,316.2064916652632
134,Xi_Sib_Proton_1.37_87.8_155.8_134,0.3185382455,1,Proton,1.374500998224025,87.76654014501828,155.80623535541616,Sib,740.0124134558519,18.76032276192109,283.8511015342423
135,Xi_Sib_Iron_1.41_87.8_299.5_135,0.9484172909,1,Iron,1.407509362851828,87.75062452706982,299.47447584105686,Sib,640.6101749644549,19.581865492787983,292.6698107811434
136,Xi_Sib_Proton_0.356_73.2_225.7_136,0.8644153601,1,Proton,0.3562108337722508,73.16332816831887,225.6928304532501,Sib,705.9990131880064,11.636793791929449,35.038430016621405
137,Xi_Sib_Iron_1.1_86.6_73.84_137,0.2295801638,1,Iron,1.0955717769795843,86.57653911761966,73.83587630241968,Sib,634.299168480316,19.036003478972816,227.64931349287426
138,Xi_Sib_Proton_0.585_77.4_53.38_138,0.7214686171,1,Proton,0.5852381687415493,77.43350519395959,53.37587350699017,Sib,718.5052932764899,13.18293547072426,53.18628428452186
139,Xi_Sib_Iron_0.133_87.4_174.6_139,0.7457014360,1,Iron,0.13268417183177958,87.41187890765886,174.61347134970316,Sib,581.1235088481077,19.987770040597752,277.97277612618404
140,Xi_Sib_Proton_2.86_86.8_254.4_140,0.7280483947,1,Proton,2.858090146672225,86.83776456593668,254.3707306075949,Sib,758.4524035166108,18.139977530492615,229.162959765912
141,Xi_Sib_Iron_1.79_87.9_53.97_141,0.6815422327,1,Iron,1.7925365806806963,87.8667203141933,53.96678946608541,Sib,646.7011455759441,19.57834388941501,299.7071986938741
142,Xi_Sib_Proton_2.62_67.8_75.62_142,0.3075028923,1,Proton,2.6198098670691365,67.77098914409117,75.617822830243,Sib,756.2596468631926,9.572828911833312,21.521339841464364
143,Xi_Sib_Iron_0.458_79.7_29.32_143,0.0006742185,1,Iron,0.4579805023492448,79.65072507718943,29.31849034984611,Sib,612.3291253697747,15.221697157161543,74.59091933846778
144,Xi_Sib_Proton_2.21_87.9_329.6_144,0.2148007558,1,Proton,2.2128178836839547,87.91555044831829,329.5853050597951,Sib,752.0068490158196,18.734797026158958,292.5776814102969
145,Xi_Sib_Iron_2.95_79.7_49.36_145,0.1783764087,1,Iron,2.9499637525757563,79.71266567909996,49.36171791637974,Sib,659.2493674199956,14.79256906035971,72.74648411038788
